layer,accuracy
0,0.4160768452982811
1,0.6830131445904954
2,0.4089989888776542
3,0.2861476238624874
4,0.5328614762386249
5,0.3746208291203236
6,0.47775530839231545
7,0.3134479271991911
8,0.27603640040444893
9,0.4211324570273003
10,0.3068756319514661
11,0.4661274014155713
12,0.5025278058645096
13,0.43023255813953487
14,0.5465116279069767
15,0.6309403437815976
16,0.43478260869565216
17,0.4499494438827098
18,0.48685540950455003
19,0.34125379170879677
20,0.7335692618806876
21,0.6531850353892821
22,0.5283114256825076
23,0.7290192113245703
24,0.8119312436804853
25,0.820525783619818
26,0.7376137512639029
27,0.8584428715874621
28,0.845803842264914
